ingestion_date,source_file_name,date,time,team1,team2,group,ground,round
2026-04-25,baseWC_20260425.json,2026-06-27,19:30 UTC-4,DR Congo,Uzbekistan,Group K,Atlanta,Matchday 17
2026-04-25,baseWC_20260425.json,2026-06-17,15:00 UTC-5,England,Croatia,Group L,Dallas (Arlington),Matchday 7
2026-04-25,baseWC_20260425.json,2026-06-17,19:00 UTC-4,Ghana,Panama,Group L,Toronto,Matchday 7
2026-04-25,baseWC_20260425.json,2026-06-23,16:00 UTC-4,England,Ghana,Group L,Boston (Foxborough),Matchday 13
2026-04-25,baseWC_20260425.json,2026-06-23,19:00 UTC-4,Panama,Croatia,Group L,Toronto,Matchday 13
2026-04-25,baseWC_20260425.json,2026-06-27,17:00 UTC-4,Panama,England,Group L,New York/New Jersey (East Rutherford),Matchday 17
2026-04-25,baseWC_20260425.json,2026-06-27,17:00 UTC-4,Croatia,Ghana,Group L,Philadelphia,Matchday 17
2026-04-25,baseWC_20260425.json,2026-06-28,12:00 UTC-7,2A,2B,,Los Angeles (Inglewood),Round of 32
2026-04-25,baseWC_20260425.json,2026-06-29,16:30 UTC-4,1E,3A/B/C/D/F,,Boston (Foxborough),Round of 32
2026-04-25,baseWC_20260425.json,2026-06-29,19:00 UTC-6,1F,2C,,Monterrey (Guadalupe),Round of 32
2026-04-25,baseWC_20260425.json,2026-06-29,12:00 UTC-5,1C,2F,,Houston,Round of 32
2026-04-25,baseWC_20260425.json,2026-06-30,17:00 UTC-4,1I,3C/D/F/G/H,,New York/New Jersey (East Rutherford),Round of 32
2026-04-25,baseWC_20260425.json,2026-06-30,12:00 UTC-5,2E,2I,,Dallas (Arlington),Round of 32
2026-04-25,baseWC_20260425.json,2026-06-30,19:00 UTC-6,1A,3C/E/F/H/I,,Mexico City,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-01,12:00 UTC-4,1L,3E/H/I/J/K,,Atlanta,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-01,17:00 UTC-7,1D,3B/E/F/I/J,,San Francisco Bay Area (Santa Clara),Round of 32
2026-04-25,baseWC_20260425.json,2026-07-01,13:00 UTC-7,1G,3A/E/H/I/J,,Seattle,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-02,19:00 UTC-4,2K,2L,,Toronto,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-02,12:00 UTC-7,1H,2J,,Los Angeles (Inglewood),Round of 32
2026-04-25,baseWC_20260425.json,2026-07-02,20:00 UTC-7,1B,3E/F/G/I/J,,Vancouver,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-03,18:00 UTC-4,1J,2H,,Miami (Miami Gardens),Round of 32
2026-04-25,baseWC_20260425.json,2026-07-03,20:30 UTC-5,1K,3D/E/I/J/L,,Kansas City,Round of 32
2026-04-25,baseWC_20260425.json,2026-07-03,13:00 UTC-5,2D,2G,,Dallas (Arlington),Round of 32
2026-04-25,baseWC_20260425.json,2026-07-04,17:00 UTC-4,W74,W77,,Philadelphia,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-04,12:00 UTC-5,W73,W75,,Houston,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-05,16:00 UTC-4,W76,W78,,New York/New Jersey (East Rutherford),Round of 16
2026-04-25,baseWC_20260425.json,2026-07-05,18:00 UTC-6,W79,W80,,Mexico City,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-06,14:00 UTC-5,W83,W84,,Dallas (Arlington),Round of 16
2026-04-25,baseWC_20260425.json,2026-07-06,17:00 UTC-7,W81,W82,,Seattle,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-07,12:00 UTC-4,W86,W88,,Atlanta,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-07,13:00 UTC-7,W85,W87,,Vancouver,Round of 16
2026-04-25,baseWC_20260425.json,2026-07-09,16:00 UTC-4,W89,W90,,Boston (Foxborough),Quarter-final
2026-04-25,baseWC_20260425.json,2026-07-10,12:00 UTC-7,W93,W94,,Los Angeles (Inglewood),Quarter-final
2026-04-25,baseWC_20260425.json,2026-07-11,17:00 UTC-4,W91,W92,,Miami (Miami Gardens),Quarter-final
2026-04-25,baseWC_20260425.json,2026-07-11,20:00 UTC-5,W95,W96,,Kansas City,Quarter-final
2026-04-25,baseWC_20260425.json,2026-07-14,14:00 UTC-5,W97,W98,,Dallas (Arlington),Semi-final
2026-04-25,baseWC_20260425.json,2026-07-15,15:00 UTC-4,W99,W100,,Atlanta,Semi-final
2026-04-25,baseWC_20260425.json,2026-07-18,17:00 UTC-4,L101,L102,,Miami (Miami Gardens),Match for third place
2026-04-25,baseWC_20260425.json,2026-07-19,15:00 UTC-4,W101,W102,,New York/New Jersey (East Rutherford),Final
